"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"1068.5436";"93.86";"0.01";"3776.4337";"28.3";"1232.43";"1114.2";"1138.4407";"11979.72";"19904.1"
"C";"Austria";"90.7129";"92.9";"-0.21";"90.1387";"100.64";"0";"204.8";"97.6438";"852.33";"1070.84"
"C";"Belgium";"8.0032";"87.66";"-0.27";"169.6062";"4.72";"0";"24.3";"9.13";"88.14";"169.66"
"C";"Bulgaria";"5.5166";"93.66";"0";"33.02";"16.71";"0";"0";"5.8898";"41.23";"40.91"
"C";"Croatia";"4.6553";"97.55";"-0.03";"28.2602";"16.47";"1.18";"1.2";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"42.7458";"95.7";"-0.01";"90.6943";"47.13";"43.06";"48.5";"44.6671";"511.85";"706.87"
"C";"Denmark";"8.9765";"91.18";"-0.06";"23.1592";"38.76";"6.66";"18.1";"9.845";"90.72";"180"
"E";"France";"122.5602";"89.89";"-0.16";"430.4139";"28.47";"252.75";"470.1";"136.3455";"1189.32";"2509.72"
"E";"Germany";"238.4977";"94.03";"0";"905.3031";"26.34";"133.15";"121.6";"253.6277";"4265.12";"6810.03"
"C";"Hungary";"63.6697";"93.45";"0.29";"107.8658";"59.03";"200.65";"0";"68.1327";"455.22";"798.9"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"184.2996";"94.36";"0.07";"725.0259";"25.42";"168.37";"0";"195.3118";"1699.23";"2916.1"
"C";"Latvia";"19.7305";"87.3";"0.35";"11.5885";"170.26";"79.5";"0";"22.6";"128";"74"
"C";"Netherlands";"135.6156";"95.23";"0.01";"350.6667";"38.67";"146.44";"137.2";"142.4091";"1402.9";"2840.01"
"C";"Poland";"36.5939";"97.47";"0.08";"232.4541";"15.74";"31.1";"1";"37.5433";"345.03";"595.86"
"C";"Portugal";"3.6699";"100";"0";"58.6354";"6.26";"0";"0";"3.57";"24";"85.68"
"C";"Romania";"31.2396";"92.25";"0.3";"114.3571";"27.32";"101.01";"0";"33.8636";"258.75";"312.44"
"C";"Slovakia";"37.7269";"96.99";"-0.05";"53.2106";"70.9";"68.34";"87.4";"38.897";"410.96";"491.56"
"C";"Spain";"34.233";"100";"0";"338.9865";"10.1";"0.23";"0";"34.0904";"166.57";"241.37"
"C";"Sweden";"0.0968";"95.3";"0";"13.0475";"0.74";"0";"0";"0.1015";"6.49";"8.58"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"115.292";"34.73";"0.14";"1030.5274";"11.19";"636.93";"223.4";"331.9268";"2678.65";"2128.53"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"108.8416";"33.8";"0.21";"261.0519";"41.69";"636.34";"0.2";"322.0633";"2207.72";"1705.75"
"C";"United Kingdom (Post-Brexit)";"6.4505";"65.4";"-2.26";"769.4755";"0.84";"0.59";"223.3";"9.8636";"470.93";"422.78"
