"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"1040.7901";"93.43";"0.25";"3776.4337";"27.56";"2981.12";"203.2";"1114.036";"11974.46";"20093.55"
"C";"Austria";"84.966";"88.93";"0.42";"90.1387";"94.26";"403.56";"0";"95.5464";"845.77";"1064.31"
"C";"Belgium";"8.6822";"100";"0.55";"169.6062";"5.12";"42.02";"0";"7.61";"88.14";"169.66"
"C";"Bulgaria";"5.0035";"86.23";"0.5";"33.02";"15.15";"28.87";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.6066";"96.52";"0.37";"28.2602";"16.3";"18.72";"0.9";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"39.9173";"91.19";"0.45";"90.6943";"44.01";"199.22";"3.2";"43.7739";"503.84";"705.07"
"C";"Denmark";"9.2073";"99.74";"0.13";"23.1592";"39.76";"12.42";"0.6";"9.2316";"90.72";"180"
"C";"France";"131.9506";"99.51";"0.08";"430.4139";"30.66";"150.46";"45.6";"132.6052";"1201.17";"2482.65"
"E";"Germany";"238.2936";"97.18";"0.35";"905.3031";"26.32";"913.33";"43.1";"245.2095";"4268.91";"6879.26"
"C";"Hungary";"55.2342";"81.58";"0.44";"107.8658";"51.21";"298.57";"0";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"183.1282";"94.67";"0.09";"725.0259";"25.26";"178.38";"0";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"13.4793";"55.99";"0.16";"11.5885";"116.32";"39.54";"0";"24.074";"126";"272"
"E";"Netherlands";"128.5703";"92.5";"0.22";"350.6667";"36.66";"335.6";"25.7";"138.9911";"1403.77";"2786.18"
"C";"Poland";"35.724";"98.12";"-0.08";"232.4541";"15.37";"0";"30.1";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.9005";"100";"0";"58.6354";"6.65";"0";"0";"3.6701";"24";"85.68"
"C";"Romania";"30.6545";"93.48";"0.34";"114.3571";"26.81";"125.5";"15.2";"32.7936";"264.75";"312.44"
"C";"Slovakia";"34.4392";"92.96";"0.4";"53.2106";"64.72";"185.58";"39";"37.0476";"410.96";"491.56"
"E";"Spain";"32.9385";"93.44";"0.14";"338.9865";"9.72";"49.35";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0941";"92.94";"0";"13.0475";"0.72";"0";"0";"0.1013";"6.47";"8.56"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"113.1829";"33.72";"0.08";"1030.5274";"10.98";"258.13";"0.1";"335.6952";"2807.74";"2166.23"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"102.8438";"31.55";"0.05";"261.0519";"39.4";"150.64";"0.1";"325.9264";"2324.8";"1664.45"
"C";"United Kingdom (Post-Brexit)";"10.3391";"100";"1.1";"769.4755";"1.34";"107.49";"0";"9.7688";"482.93";"501.78"
