"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"C";"EU";"1057.4023";"94.76";"0.15";"3776.4337";"28";"2136.42";"495.2";"1115.8672";"11966.56";"20093.51"
"C";"Austria";"88.683";"92.82";"0.35";"90.1387";"98.39";"338.62";"0";"95.5464";"845.77";"1064.31"
"C";"Belgium";"8.971";"100";"-0.47";"169.6062";"5.29";"0";"35.7";"7.61";"88.14";"169.66"
"C";"Bulgaria";"5.2288";"90.11";"0.3";"33.02";"15.84";"17.45";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.6286";"96.99";"0.37";"28.2602";"16.38";"19.57";"1.9";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"41.3855";"94.54";"0.39";"90.6943";"45.63";"187.47";"16.1";"43.7739";"503.84";"705.07"
"C";"Denmark";"9.1972";"99.63";"-0.14";"23.1592";"39.71";"0";"12.8";"9.2316";"82.8";"180"
"C";"France";"132.7047";"100";"0.06";"430.4139";"30.83";"117.96";"36.7";"132.6052";"1201.17";"2482.65"
"C";"Germany";"242.5726";"98.91";"0.1";"905.3031";"26.79";"475.85";"236.6";"245.2407";"4268.91";"6879.26"
"C";"Hungary";"57.9635";"85.61";"0.37";"107.8658";"53.74";"253.45";"0";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"184.6394";"95.45";"0.04";"725.0259";"25.47";"71.95";"0";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"13.8394";"57.49";"0.17";"11.5885";"119.42";"40";"0";"24.074";"126";"272"
"C";"Netherlands";"127.3327";"91.61";"0.1";"350.6667";"36.31";"232.14";"99.7";"138.9911";"1403.78";"2786.15"
"C";"Poland";"35.9713";"98.79";"0.16";"232.4541";"15.47";"57.5";"0";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.9003";"100";"0";"58.6354";"6.65";"0";"0";"3.6701";"24";"85.68"
"C";"Romania";"31.6638";"96.55";"0.28";"114.3571";"27.69";"123.61";"30.7";"32.7936";"264.75";"312.44"
"C";"Slovakia";"35.2585";"90.76";"0.35";"53.2106";"66.26";"161.17";"25.1";"38.8476";"410.96";"491.56"
"C";"Spain";"33.3681";"94.66";"0.11";"338.9865";"9.84";"39.66";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0941";"92.94";"0";"13.0475";"0.72";"0";"0";"0.1013";"6.47";"8.56"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"115.4143";"34.47";"0.05";"1030.5274";"11.2";"302.56";"125";"334.8426";"2798.52";"2172.58"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"105.0448";"32.31";"0.09";"261.0519";"40.24";"297.05";"0.1";"325.0737";"2315.59";"1670.8"
"C";"United Kingdom (Post-Brexit)";"10.3695";"100";"-1.22";"769.4755";"1.35";"5.51";"124.9";"9.7688";"482.93";"501.78"
