"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"EU";"E";"EU";"854.7604";"75.01";"-0.48";"3760.87";"22.73";"448.05";"6181.8";"1139.4835";"11654.38";"20025.98";"0";"0";"100"
"country";"E";"Austria";"82.6364";"84.63";"-0.46";"91";"90.81";"0";"451.2";"97.6438";"852.33";"1070.84";"0";"0";"100"
"company";"C";"astora";"16.0237";"85.13";"-0.3";"0";"0";"0";"56.3";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"facility";"C";"UGS Haidach (astora)";"16.0237";"85.13";"-0.3";"0";"0";"0";"56.3";"18.8227";"164.16";"176.32";"18.8227";"0";"0"
"company";"N";"GSA";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Haidach (GSA) // historical data prior to 6 Oct 2022";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"OMV Gas Storage";"23.0933";"87.77";"-0.29";"0";"0";"0";"76";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"facility";"C";"VGS OMV Gas Storage Pool (Tallesbrunn & Schönkirchen / Reyersdorf)";"23.0933";"87.77";"-0.29";"0";"0";"0";"76";"26.3122";"213.34";"308.31";"27.8917";"0";"0"
"company";"C";"RAG Energy Storage";"28.5966";"82.45";"-0.5";"0";"0";"0";"173.8";"34.684";"328.87";"367.27";"0";"0";"0"
"facility";"C";"RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, 7Fields-RAG, Haidach)";"28.5966";"82.45";"-0.5";"0";"0";"0";"173.8";"34.684";"328.87";"367.27";"0";"0";"0"
"company";"E";"Uniper Energy Storage (AT)";"14.9228";"83.72";"-0.81";"0";"0";"0";"145.2";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"facility";"E";"UGS 7 Fields (Uniper Energy Storage) - AT";"14.9228";"83.72";"-0.81";"0";"0";"0";"145.2";"17.825";"145.96";"218.94";"17.8138";"0.0112";"0"
"country";"C";"Belgium";"5.6281";"63.74";"-1.31";"167.36";"3.36";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"100"
"company";"C";"Fluxys";"5.6281";"63.74";"-1.31";"0";"0";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"0"
"facility";"C";"UGS Loenhout";"5.6281";"63.74";"-1.31";"0";"0";"0";"115.5";"8.83";"88.14";"169.66";"0";"0";"0"
"country";"C";"Bulgaria";"4.384";"74.43";"-0.42";"31.09";"14.1";"0";"25.1";"5.8898";"41.23";"40.91";"0";"0";"100"
"company";"C";"Bulgartransgaz";"4.384";"74.43";"-0.42";"0";"0";"0";"25.1";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"facility";"C";"UGS Chiren";"4.384";"74.43";"-0.42";"0";"0";"0";"25.1";"5.8898";"41.23";"40.91";"5.8898";"0";"0"
"country";"C";"Croatia";"2.8918";"60.59";"-0.89";"28.02";"10.32";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"100"
"company";"C";"PSP";"2.8918";"60.59";"-0.89";"0";"0";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"0"
"facility";"C";"UGS Okoli";"2.8918";"60.59";"-0.89";"0";"0";"0.89";"45.9";"4.7725";"43.87";"51.57";"0";"0";"0"
"country";"C";"Czech Republic";"35.1561";"78.35";"-0.55";"84.83";"41.44";"0.12";"247.6";"44.8731";"511.85";"695.87";"0";"0";"100"
"company";"C";"Gas Storage CZ";"22.6463";"77.06";"-0.68";"0";"0";"0";"200.9";"29.3896";"323.51";"424.09";"29.1896";"0.2";"0"
"facility";"C";"VGS RWE (Háje, Třanovice, Štramberk, Tvrdonice, Dolni Dunajovice, Lobodice)";"22.6463";"77.06";"-0.68";"0";"0";"0";"200.9";"29.3896";"323.51";"424.09";"29.1896";"0.2";"0"
"company";"C";"MND Energy Storage";"2.4358";"65.9";"-0.46";"0";"0";"0.12";"17";"3.696";"59";"96";"0";"0";"0"
"facility";"C";"UGS Uhřice";"2.4358";"65.9";"-0.46";"0";"0";"0.12";"17";"3.696";"59";"96";"0";"0";"0"
"company";"C";"Moravia Gas Storage";"3.4382";"70.98";"-0.62";"0";"0";"0";"29.8";"4.8436";"55";"80.2";"0";"0";"0"
"facility";"C";"UGS Dambořice";"3.4382";"70.98";"-0.62";"0";"0";"0";"29.8";"4.8436";"55";"80.2";"0";"0";"0"
"company";"C";"SPP Storage";"6.6359";"95.56";"0";"0";"0";"0";"0";"6.9439";"74.34";"95.58";"0";"0";"0"
"facility";"C";"UGS Dolni Bojanovice";"6.6359";"95.56";"0";"0";"0";"0";"0";"6.9439";"74.34";"95.58";"0";"0";"0"
"country";"C";"Denmark";"8.0726";"79.73";"-0.41";"19.53";"41.33";"10.54";"51.6";"10.125";"90.72";"180";"0";"0";"100"
"company";"C";"GSD";"8.0726";"79.73";"-0.41";"0";"0";"10.54";"51.6";"10.125";"90.72";"180";"10.125";"0";"0"
"facility";"C";"VGS GSD Gas Storage (Lille Torup, Stenlille)";"8.0726";"79.73";"-0.41";"0";"0";"10.54";"51.6";"10.125";"90.72";"180";"10.125";"0";"0"
"country";"E";"France";"88.3257";"65.74";"-1.01";"441.28";"20.02";"77.19";"1435.1";"134.3507";"1130.85";"2487.55";"0";"0";"100"
"company";"E";"Storengy";"68.1092";"67.21";"-0.85";"0";"0";"68.24";"932.8";"101.3365";"831.63";"1932.99";"0";"0";"0"
"facility";"E";"VGS SALINE (Tersanne, Etrez, Manosque)";"9.4192";"81.76";"-0.32";"0";"0";"4.11";"40.6";"11.5201";"92.16";"640";"0";"0";"0"
"facility";"E";"VGS SEDIANE (Saint-Illiers, Beynes Supérieur, Beynes Profond)";"8.8407";"63.09";"-1.42";"0";"0";"2.87";"202.1";"14.0136";"164.87";"280.27";"0";"0";"0"
"facility";"E";"VGS SEDIANE B (Gournay-sur-Aronde)";"5.3125";"48.42";"-0.77";"0";"0";"0";"84";"10.9715";"74.81";"182.53";"0";"0";"0"
"facility";"N";"VGS SEDIANE LITTORAL  // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"E";"VGS SERENE ATLANTIQUE ((Chéméry, Céré-la-Ronde, Soings-en-Sologne)";"33.1436";"69.23";"-0.85";"0";"0";"60.1";"464.8";"47.8755";"374.75";"654.18";"0";"0";"0"
"facility";"E";"VGS SERENE NORD (Trois Fontaines l’Abbaye, Cerville, Germiny-sous-Coulombs, Saint-Clair-sur-Epte)";"11.3932";"67.19";"-0.83";"0";"0";"1.16";"141.3";"16.9559";"125.04";"176.01";"0";"0";"0"
"facility";"N";"VGS SERENE SUD // Historical data prior to 1 April 2019 (Chémery, Céré-la-Ronde, Soings-en-Sologne)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Teréga";"20.2165";"61.24";"-1.49";"0";"0";"8.95";"502.3";"33.0142";"299.22";"554.56";"0";"0";"0"
"facility";"C";"VGS Lussagnet (TERÉGA)";"20.2165";"61.24";"-1.49";"0";"0";"8.95";"502.3";"33.0142";"299.22";"554.56";"0";"0";"0"
"country";"E";"Germany";"199.3287";"78.22";"-0.64";"888.83";"22.43";"20.48";"1707.6";"254.8323";"4025.71";"6813.39";"0";"0";"100"
"company";"C";"astora (Germany)";"36.7166";"66.59";"-0.75";"0";"0";"0";"414.1";"55.1399";"489.9";"753.51";"55.1399";"0";"0"
"facility";"C";"UGS Jemgum H (astora)";"8.1395";"91.75";"-0.48";"0";"0";"0";"42.2";"8.8717";"137.34";"211.11";"8.8717";"0";"0"
"facility";"C";"UGS Rehden";"28.5771";"61.76";"-0.8";"0";"0";"0";"372";"46.2682";"352.56";"542.4";"46.2682";"0";"0"
"facility";"C";"VSP NORD (Rehden, Jemgum)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"bayernugs";"2.5492";"61.81";"-0.72";"0";"0";"0";"29.6";"4.1245";"40.44";"66.12";"8.3128";"0";"0"
"facility";"C";"UGS Wolfersberg";"2.5492";"61.81";"-0.72";"0";"0";"0";"29.6";"4.1245";"40.44";"66.12";"8.3128";"0";"0"
"company";"N";"BES";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Berlin (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"EDF Gas Deutschland";"1.2341";"61.73";"0";"0";"0";"0";"0";"1.9994";"54";"94.5";"1.9994";"0";"0"
"facility";"C";"VGS UGS Etzel (EDF)";"1.2341";"61.73";"0";"0";"0";"0";"0";"1.9994";"54";"94.5";"1.9994";"0";"0"
