"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"650.2831";"57.6";"0.31";"3776.4337";"17.22";"3722.91";"169.6";"1128.9212";"11930.9";"20006.52"
"C";"Austria";"65.1513";"67.21";"0.29";"90.1387";"72.28";"279.68";"0";"96.942";"853.16";"1072.83"
"C";"Belgium";"3.3098";"43.49";"0.73";"169.6062";"1.95";"55.35";"0";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.4993";"77.54";"0";"33.02";"13.63";"0";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"3.4963";"73.26";"0";"28.2602";"12.37";"0.61";"0.6";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"24.1306";"54.61";"0.29";"90.6943";"26.61";"130.35";"2.3";"44.1907";"503.84";"705.07"
"C";"Denmark";"7.2174";"73.31";"0.29";"23.1592";"31.16";"28.98";"0.1";"9.845";"90.72";"180"
"C";"France";"43.1723";"32.31";"0.61";"430.4139";"10.03";"860.32";"41.7";"133.6026";"1151.3";"2482.65"
"E";"Germany";"162.765";"65.05";"0.37";"905.3031";"17.98";"940.87";"19.6";"250.2143";"4288.14";"6931.78"
"C";"Hungary";"31.1099";"44.63";"0.21";"107.8658";"28.84";"146.46";"0";"69.7027";"455.22";"798.9"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"121.4551";"62.79";"0.29";"725.0259";"16.75";"562.25";"0";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"8.7464";"36.33";"0.11";"11.5885";"75.47";"27.66";"0";"24.074";"60";"169"
"C";"Netherlands";"85.5039";"60.45";"0.16";"350.6667";"24.38";"308.59";"82";"141.4411";"1448.07";"2755.04"
"C";"Poland";"18.4642";"50.71";"0.27";"232.4541";"7.94";"99.55";"0";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.8044";"95.9";"0";"58.6354";"6.49";"0";"0";"3.967";"24";"85.68"
"C";"Romania";"14.7626";"43.59";"0.38";"114.3571";"12.91";"130.81";"0.8";"33.8636";"258.75";"312.44"
"C";"Slovakia";"22.7824";"58.65";"0.15";"53.2106";"42.82";"80.33";"22.5";"38.8476";"410.96";"491.56"
"E";"Spain";"29.8155";"87.46";"0.21";"338.9865";"8.8";"71.1";"0";"34.0904";"166.57";"241.37"
"C";"Sweden";"0.0967";"95.24";"0";"13.0475";"0.74";"0";"0";"0.1015";"6.49";"8.58"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"54.8591";"16.46";"0";"1030.5274";"5.32";"152.69";"136.8";"333.2747";"2923.45";"1736.22"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"48.8853";"15.11";"0.04";"261.0519";"18.73";"119.06";"0.1";"323.4511";"2403.52";"1234.44"
"C";"United Kingdom (Post-Brexit)";"5.9738";"60.81";"-1.05";"769.4755";"0.78";"33.62";"136.7";"9.8236";"519.93";"501.78"
