"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"877.2835";"78.35";"-0.52";"3776.4337";"23.23";"256.77";"6075.6";"1119.6648";"11792.64";"19937.14"
"C";"Austria";"80.8566";"84.19";"-0.48";"90.1387";"89.7";"0";"462.2";"96.0379";"846.7";"1065.65"
"C";"Belgium";"6.0635";"79.68";"-0.84";"169.6062";"3.58";"0";"64";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.7691";"82.19";"0";"33.02";"14.44";"0";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.3033";"90.17";"-0.48";"28.2602";"15.23";"0";"22.8";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"36.3256";"82.92";"-0.63";"90.6943";"40.05";"33.69";"309.2";"43.8099";"503.84";"705.07"
"E";"Denmark";"8.8387";"88.92";"-0.49";"23.1592";"38.16";"0.48";"49.7";"9.9404";"90.72";"180"
"C";"France";"98.3714";"73.63";"-0.91";"430.4139";"22.86";"29.53";"1245.3";"133.6026";"1151.3";"2482.65"
"E";"Germany";"213.3305";"86.52";"-0.63";"905.3031";"23.56";"20.25";"1580.1";"246.5576";"4254.42";"6879.26"
"C";"Hungary";"42.4545";"62.71";"-0.38";"107.8658";"39.36";"3.68";"262.9";"67.7027";"488.14";"798.9"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"147.8031";"76.41";"-0.41";"725.0259";"20.39";"86.4";"870.1";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"11.0217";"45.78";"-0.14";"11.5885";"95.11";"0";"34.2";"24.074";"50";"235.5"
"C";"Netherlands";"101.241";"72.87";"-0.44";"350.6667";"28.87";"45.07";"663.1";"138.9411";"1409.37";"2771.41"
"C";"Poland";"34.0023";"93.39";"-0.55";"232.4541";"14.63";"0";"200";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.8994";"98.29";"0";"58.6354";"6.65";"0";"0";"3.967";"0";"0"
"C";"Romania";"23.192";"70.72";"-0.4";"114.3571";"20.28";"9.88";"141.9";"32.7936";"240.75";"332.44"
"C";"Slovakia";"27.8321";"71.64";"-0.29";"53.2106";"52.31";"27.78";"139.6";"38.8476";"410.96";"491.56"
"E";"Spain";"32.8891";"93.3";"-0.09";"338.9865";"9.7";"0";"30.4";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0896";"88.42";"0";"13.0475";"0.69";"0";"0";"0.1014";"6.48";"8.57"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E";"Non-EU";"80.22";"24.06";"-0.14";"1030.5274";"7.78";"28.49";"485";"333.4812";"2867.97";"1935.74"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"E";"Ukraine";"72.196";"22.31";"-0.1";"261.0519";"27.66";"0";"335.6";"323.6576";"2367.03";"1433.96"
"C";"United Kingdom (Post-Brexit)";"8.0239";"81.68";"-1.23";"769.4755";"1.04";"28.49";"149.3";"9.8236";"500.93";"501.78"
