"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"625.8927";"55.7";"0.02";"3776.4337";"16.57";"1297.11";"1054";"1123.6367";"11866.52";"20086.94"
"C";"Austria";"63.8286";"65.98";"0.13";"90.1387";"70.81";"175.88";"51.5";"96.7419";"851.88";"1070.83"
"C";"Belgium";"2.3688";"31.13";"0.48";"169.6062";"1.4";"36.76";"0";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.4993";"77.54";"0";"33.02";"13.63";"0";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"3.6064";"75.57";"-0.01";"28.2602";"12.76";"3.67";"4";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"25.0589";"57.2";"-0.03";"90.6943";"27.63";"41.81";"54.9";"43.8099";"503.84";"705.07"
"C";"Denmark";"7.1941";"72.37";"0.08";"23.1592";"31.06";"25.15";"17.6";"9.9404";"90.72";"180"
"C";"France";"38.9784";"29.17";"-0.08";"430.4139";"9.06";"208.37";"318.8";"133.6026";"1151.3";"2482.65"
"E";"Germany";"159.5315";"63.86";"0.15";"905.3031";"17.62";"511.29";"136.9";"249.8253";"4283.8";"6969.31"
"C";"Hungary";"30.8471";"45.56";"-0.11";"107.8658";"28.6";"7.26";"79.5";"67.7027";"488.14";"798.9"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"109.2022";"56.45";"0.05";"725.0259";"15.06";"115.51";"22.8";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"8.3047";"34.5";"-0.07";"11.5885";"71.66";"0";"16.3";"24.074";"50";"239.8"
"C";"Netherlands";"81.5052";"58.66";"0.07";"350.6667";"23.24";"142.46";"50.3";"138.9411";"1424.68";"2730.99"
"C";"Poland";"22.4868";"61.76";"-0.47";"232.4541";"9.67";"3.66";"174.3";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.7888";"95.51";"0";"58.6354";"6.46";"0";"0";"3.967";"24";"85.68"
"E";"Romania";"13.9487";"42.53";"-0.2";"114.3571";"12.2";"0";"64.2";"32.7936";"240.75";"337.44"
"C";"Slovakia";"23.086";"59.43";"-0.1";"53.2106";"43.39";"25.28";"62.9";"38.8476";"410.96";"491.56"
"E";"Spain";"27.5607";"78.19";"0";"338.9865";"8.13";"0";"0.1";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0967";"95.23";"0";"13.0475";"0.74";"0";"0";"0.1015";"6.49";"8.58"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"53.4766";"16.07";"0.06";"1030.5274";"5.19";"391.92";"207";"332.7768";"2921.88";"1747.65"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"49.5271";"15.34";"-0.06";"261.0519";"18.97";"0";"204.4";"322.9533";"2401.94";"1245.87"
"C";"United Kingdom (Post-Brexit)";"3.9495";"40.2";"3.96";"769.4755";"0.51";"391.92";"2.6";"9.8236";"519.93";"501.78"
