"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"941.3934";"84.15";"-0.43";"3776.4337";"24.93";"334.26";"5181.2";"1118.7385";"11574.34";"20103.4"
"C";"Austria";"82.463";"86.31";"-0.31";"90.1387";"91.48";"0";"297.6";"95.5464";"845.77";"1064.31"
"C";"Belgium";"6.1713";"81.09";"-1.14";"169.6062";"3.64";"0";"86.9";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.9144";"84.7";"-0.02";"33.02";"14.88";"0";"1.3";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.4286";"92.79";"-0.07";"28.2602";"15.67";"6.42";"9.9";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"37.249";"85.04";"-0.69";"90.6943";"41.07";"0.45";"304.7";"43.7999";"503.84";"705.07"
"C";"Denmark";"8.9098";"89.63";"-0.4";"23.1592";"38.47";"13.51";"53.2";"9.9404";"90.72";"180"
"C";"France";"112.7484";"84.39";"-0.63";"430.4139";"26.2";"68.01";"910.4";"133.6026";"1151.3";"2482.65"
"E";"Germany";"216.4909";"87.96";"-0.44";"905.3031";"23.91";"104.43";"1199.7";"246.1328";"4014.42";"6879.26"
"C";"Hungary";"51.4889";"76.05";"-0.02";"107.8658";"47.73";"0";"16";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"164.4462";"85.01";"-0.41";"725.0259";"22.68";"5.8";"793.3";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"11.7792";"48.93";"-0.37";"11.5885";"101.65";"0";"90.2";"24.074";"50";"276"
"E";"Netherlands";"109.7038";"78.96";"-0.73";"350.6667";"31.28";"51.59";"1059.9";"138.9411";"1407.99";"2775.03"
"C";"Poland";"35.0525";"96.27";"-0.02";"232.4541";"15.08";"0";"7.5";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.7611";"94.81";"0.15";"58.6354";"6.41";"5.98";"0";"3.967";"24";"85.68"
"E";"Romania";"28.3887";"86.57";"-0.34";"114.3571";"24.82";"1.93";"114";"32.7936";"240.75";"329.44"
"C";"Slovakia";"30.3139";"78.03";"-0.42";"53.2106";"56.97";"52.54";"214.1";"38.8476";"410.96";"491.56"
"E";"Spain";"33.001";"93.62";"0";"338.9865";"9.74";"23.6";"22.6";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0827";"81.58";"0";"13.0475";"0.63";"0";"0";"0.1013";"6.48";"8.57"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"94.5661";"28.32";"-0.24";"1030.5274";"9.18";"15.3";"818.5";"333.9389";"2882.91";"2041.13"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"87.8844";"27.11";"-0.15";"261.0519";"33.67";"0";"471.1";"324.1701";"2343.98";"1539.35"
"C";"United Kingdom (Post-Brexit)";"6.6816";"68.4";"-3.4";"769.4755";"0.87";"15.3";"347.4";"9.7688";"538.93";"501.78"
