"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"730.7535";"65.22";"-0.45";"3776.4337";"19.35";"157.46";"5169.8";"1120.3689";"11830";"20042.95"
"C";"Austria";"69.4327";"71.77";"-0.37";"90.1387";"77.03";"0";"360.9";"96.7419";"851.88";"1070.83"
"C";"Belgium";"4.3344";"56.96";"-1.27";"169.6062";"2.56";"0";"96.4";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.514";"77.79";"-0.18";"33.02";"13.67";"0";"10.2";"5.8025";"38.18";"40.3"
"C";"Croatia";"3.8426";"80.52";"-0.28";"28.2602";"13.6";"1.07";"14.6";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"29.6381";"67.65";"-0.49";"90.6943";"32.68";"2.27";"217.4";"43.8099";"503.84";"705.07"
"C";"Denmark";"7.8857";"79.33";"-0.3";"23.1592";"34.05";"4.71";"35";"9.9404";"90.72";"180"
"C";"France";"68.7431";"51.45";"-1.01";"430.4139";"15.97";"47.73";"1397.1";"133.6026";"1151.3";"2482.65"
"E";"Germany";"177.9106";"72.16";"-0.36";"905.3031";"19.65";"20.36";"896.3";"246.5576";"4254.42";"6879.26"
"C";"Hungary";"35.0703";"51.8";"-0.36";"107.8658";"32.51";"1.4";"242.9";"67.7027";"488.14";"798.9"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"E";"Italy";"125.531";"64.89";"-0.46";"725.0259";"17.31";"0";"899.4";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"9.8898";"41.08";"-0.23";"11.5885";"85.34";"0";"54.3";"24.074";"50";"267"
"E";"Netherlands";"89.4651";"64.39";"-0.21";"350.6667";"25.51";"62.11";"356.9";"138.9411";"1417.53";"2749.85"
"C";"Poland";"28.1263";"77.25";"-0.44";"232.4541";"12.1";"3.43";"164.2";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.8993";"98.29";"0";"58.6354";"6.65";"0";"0";"3.967";"24";"85.68"
"C";"Romania";"17.2961";"52.74";"-0.71";"114.3571";"15.12";"0";"234.3";"32.7936";"240.75";"337.44"
"C";"Slovakia";"24.8914";"64.07";"-0.37";"53.2106";"46.78";"14.36";"159.8";"38.8476";"410.96";"491.56"
"C";"Spain";"30.1959";"85.66";"-0.09";"338.9865";"8.91";"0";"30.2";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.087";"85.8";"0";"13.0475";"0.67";"0";"0";"0.1014";"6.48";"8.57"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"63.7878";"19.15";"-0.22";"1030.5274";"6.19";"0";"745.5";"333.1294";"2891.49";"1830.22"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"58.7139";"18.16";"-0.17";"261.0519";"22.49";"0";"545.2";"323.3058";"2390.56";"1328.44"
"C";"United Kingdom (Post-Brexit)";"5.0739";"51.65";"-2.04";"769.4755";"0.66";"0";"200.3";"9.8236";"500.93";"501.78"
