"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"1059.5334";"94.95";"0.18";"3776.4337";"28.06";"2266.46";"237";"1115.8752";"11901.07";"20093.52"
"C";"Austria";"88.9479";"93.09";"0.28";"90.1387";"98.68";"264.04";"0";"95.5464";"845.77";"1064.31"
"C";"Belgium";"8.9922";"100";"0.28";"169.6062";"5.3";"21.27";"0";"7.61";"88.14";"169.66"
"C";"Bulgaria";"5.2463";"90.41";"0.3";"33.02";"15.89";"17.45";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.6307";"97.03";"0.25";"28.2602";"16.39";"19.47";"7.4";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"41.5333";"94.88";"0.38";"90.6943";"45.79";"167.35";"0.7";"43.7739";"503.84";"705.07"
"C";"Denmark";"9.2269";"99.27";"0.32";"23.1592";"39.84";"29.83";"0";"9.2946";"82.8";"180"
"C";"France";"132.8114";"100";"0.08";"430.4139";"30.86";"117.2";"10.5";"132.6052";"1201.17";"2482.65"
"C";"Germany";"243.2586";"99.19";"0.29";"905.3031";"26.87";"752.17";"40.6";"245.2357";"4254.42";"6879.26"
"C";"Hungary";"58.0332";"85.72";"0.1";"107.8658";"53.8";"69.73";"0";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"184.7475";"95.5";"0.06";"725.0259";"25.48";"109.87";"1";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"13.8875";"57.69";"0.2";"11.5885";"119.84";"48.12";"0";"24.074";"75";"272"
"E";"Netherlands";"127.6065";"91.84";"0.18";"350.6667";"36.39";"271.93";"19.2";"138.9411";"1403.78";"2786.16"
"C";"Poland";"36.0142";"98.91";"0.12";"232.4541";"15.49";"43.01";"0.1";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.9003";"100";"0";"58.6354";"6.65";"0";"0";"3.6701";"24";"85.68"
"C";"Romania";"31.7391";"96.78";"0.23";"114.3571";"27.75";"89.18";"13.7";"32.7936";"264.75";"312.44"
"C";"Slovakia";"35.4626";"91.29";"0.18";"53.2106";"66.65";"212.84";"143.8";"38.8476";"410.96";"491.56"
"C";"Spain";"33.4011";"94.75";"0.09";"338.9865";"9.85";"33";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0941";"92.94";"0";"13.0475";"0.72";"0";"0";"0.1013";"6.47";"8.56"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"115.8243";"34.59";"0.12";"1030.5274";"11.24";"387.07";"0.2";"334.8843";"2799.03";"2174.05"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"105.3156";"32.39";"0.08";"261.0519";"40.34";"247.56";"0.1";"325.1154";"2316.1";"1672.27"
"C";"United Kingdom (Post-Brexit)";"10.5087";"100";"1.43";"769.4755";"1.37";"139.51";"0.1";"9.7688";"482.93";"501.78"
