"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"981.814";"88.17";"0.2";"3776.4337";"26";"2626.71";"447.7";"1113.5388";"11763.12";"19889.37"
"C";"Austria";"74.7238";"78.21";"0.38";"90.1387";"82.9";"366.46";"0";"95.5473";"842.61";"1059.74"
"C";"Belgium";"7.9329";"91.17";"0.3";"169.6062";"4.68";"26.03";"0";"8.701";"88.14";"169.66"
"C";"Bulgaria";"4.3037";"74.17";"0.21";"33.02";"13.03";"12.23";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.2517";"89.09";"0.44";"28.2602";"15.04";"25.2";"4.1";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"37.5058";"85.68";"0.12";"90.6943";"41.35";"81.92";"27.3";"43.7739";"503.84";"705.07"
"C";"Denmark";"8.7881";"95.21";"-0.04";"23.1592";"37.95";"21.68";"24.9";"9.23";"90.72";"180.9"
"C";"France";"128.4015";"96.83";"0.07";"430.4139";"29.83";"180.81";"82.6";"132.6052";"1201.17";"2482.65"
"C";"Germany";"223.9307";"91.5";"0.07";"905.3031";"24.74";"375.61";"196.5";"244.7221";"4028.78";"6879.26"
"C";"Hungary";"49.1694";"72.63";"0.29";"107.8658";"45.58";"201.8";"2.1";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"174.1691";"90.04";"0.25";"725.0259";"24.02";"476.45";"0";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"12.741";"52.92";"-0.13";"11.5885";"109.95";"0";"31.2";"24.074";"157";"74"
"E";"Netherlands";"125.5381";"90.32";"0.39";"350.6667";"35.8";"575.92";"38";"138.9911";"1404.72";"2783.67"
"C";"Poland";"35.663";"97.95";"0.01";"232.4541";"15.34";"4.26";"0";"36.4103";"345.03";"595.86"
"E";"Portugal";"3.8649";"100";"0";"58.6354";"6.59";"0";"0";"3.57";"24";"85.68"
"C";"Romania";"27.7428";"84.6";"0.32";"114.3571";"24.26";"107.2";"2.8";"32.7936";"264.75";"312.44"
"C";"Slovakia";"31.4086";"87.13";"0.23";"53.2106";"59.03";"121.77";"38.1";"36.0476";"410.96";"491.56"
"C";"Spain";"31.5848";"89.6";"0.14";"338.9865";"9.32";"49.36";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0941";"92.93";"0";"13.0475";"0.72";"0";"0";"0.1013";"6.47";"8.56"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"106.1119";"31.76";"0.03";"1030.5274";"10.3";"224.02";"121.2";"334.0707";"2820.52";"2090.34"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"96.6857";"29.81";"0.06";"261.0519";"37.04";"204.88";"0.1";"324.3018";"2314.58";"1617.56"
"C";"United Kingdom (Post-Brexit)";"9.4262";"96.49";"-1.04";"769.4755";"1.23";"19.14";"121.1";"9.7688";"505.93";"472.78"
