"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"1019.0437";"91.53";"0.18";"3776.4337";"26.98";"2732.84";"765.3";"1113.285";"12005.43";"19967.3"
"C";"Austria";"80.9194";"84.69";"0.36";"90.1387";"89.77";"346.02";"0";"95.5464";"845.77";"1064.31"
"C";"Belgium";"8.3218";"100";"0.38";"169.6062";"4.91";"28.9";"0";"7.61";"88.14";"169.66"
"C";"Bulgaria";"4.6863";"80.76";"0.5";"33.02";"14.19";"28.9";"0";"5.8025";"38.18";"40.3"
"C";"Croatia";"4.5548";"95.44";"0.36";"28.2602";"16.12";"18.23";"0.8";"4.7725";"43.87";"51.57"
"C";"Czech Republic";"38.7623";"88.55";"0.2";"90.6943";"42.74";"87.08";"1";"43.7739";"503.84";"705.07"
"C";"Denmark";"9.15";"99.12";"0.05";"23.1592";"39.51";"21.12";"16.8";"9.2316";"90.72";"180"
"C";"France";"130.3169";"98.27";"0.13";"430.4139";"30.28";"200.11";"27.9";"132.6052";"1201.17";"2482.65"
"C";"Germany";"233.1141";"94.97";"0.28";"905.3031";"25.75";"760.07";"78.8";"245.4584";"4268.78";"6879.26"
"C";"Hungary";"52.2734";"77.21";"0.44";"107.8658";"48.46";"299.31";"0";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"180.4288";"93.27";"0.16";"725.0259";"24.89";"303.87";"0";"193.4434";"1698.45";"2914.24"
"C";"Latvia";"12.9759";"53.9";"-0.11";"11.5885";"111.97";"0";"25.5";"24.074";"157";"146"
"C";"Netherlands";"129.3071";"93.03";"-0.25";"350.6667";"36.87";"185.92";"531.2";"138.9911";"1403.86";"2785.93"
"C";"Poland";"35.846";"98.45";"0";"232.4541";"15.42";"1.76";"0";"36.4103";"345.03";"595.86"
"E";"Portugal";"3.8863";"100";"0";"58.6354";"6.63";"0";"0";"3.6701";"24";"85.68"
"C";"Romania";"29.514";"90";"0.5";"114.3571";"25.81";"200.49";"35.7";"32.7936";"264.75";"312.44"
"C";"Slovakia";"32.4592";"90.05";"0.44";"53.2106";"61";"206.12";"47.5";"36.0476";"410.96";"491.56"
"C";"Spain";"32.4335";"92.01";"0.13";"338.9865";"9.57";"44.93";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0941";"92.93";"0";"13.0475";"0.72";"0";"0";"0.1013";"6.47";"8.56"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"110.6463";"33";"0.01";"1030.5274";"10.74";"176.96";"130";"335.3136";"2810.32";"2147.01"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"100.4724";"30.86";"0.05";"261.0519";"38.49";"172.1";"0.1";"325.5448";"2321.39";"1645.23"
"C";"United Kingdom (Post-Brexit)";"10.1739";"100";"-1.28";"769.4755";"1.32";"4.86";"130";"9.7688";"488.93";"501.78"
