"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Working (gas) volume (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)"
"E";"EU";"340.7901";"30.83";"0.33";"3776.4337";"9.02";"3964.83";"365";"1105.237";"11486.13";"19581.45"
"C";"Austria";"15.8964";"16.64";"0.21";"90.1387";"17.64";"207.79";"6.1";"95.5024";"841.76";"1059.8"
"C";"Belgium";"1.2998";"14.94";"0.15";"169.6062";"0.77";"12.98";"0";"8.701";"88.14";"169.66"
"C";"Bulgaria";"0.9543";"16.42";"0.16";"33.02";"2.89";"9.2";"0";"5.8135";"34.1";"40.38"
"C";"Croatia";"0.8508";"17.83";"0";"28.2602";"3.01";"0";"0";"4.7725";"43.87";"51.57"
"E";"Czech Republic";"13.2228";"36.92";"0.57";"90.6943";"14.58";"203.56";"0";"35.8139";"389.84";"517.87"
"C";"Denmark";"3.6488";"40.18";"0.05";"23.1592";"15.76";"25.27";"21.2";"9.08";"90.72";"180.9"
"C";"France";"38.5342";"29.28";"0.49";"430.4139";"8.95";"779.33";"132";"131.6078";"1151.3";"2482.65"
"E";"Germany";"79.4047";"32.63";"0.34";"905.3031";"8.77";"959.61";"139";"243.336";"4010.09";"6822.66"
"C";"Hungary";"12.8979";"19.05";"0.01";"107.8658";"11.96";"9.09";"3.9";"67.7027";"488.14";"839.71"
"N";"Ireland";"0";"0";"0";"50.8989";"0";"0";"0";"0";"0";"0"
"C";"Italy";"65.6474";"33.16";"0.38";"725.0259";"9.05";"752.79";"0";"197.9497";"1698.45";"2914.24"
"C";"Latvia";"7.6425";"35.06";"0.13";"11.5885";"65.95";"29.12";"0";"21.8";"75.5";"170.4"
"C";"Netherlands";"35.4873";"25.53";"0.36";"350.6667";"10.12";"510.9";"16.4";"138.9911";"1411.14";"2623.59"
"C";"Poland";"26.8681";"73.79";"0.7";"232.4541";"11.56";"253.28";"0";"36.4103";"345.03";"595.86"
"C";"Portugal";"3.1289";"87.64";"0.62";"58.6354";"5.34";"22.17";"0";"3.57";"24";"85.68"
"C";"Romania";"6.6914";"20.4";"0.17";"114.3571";"5.85";"65.01";"9.5";"32.7936";"250.75";"312.44"
"C";"Slovakia";"7.291";"20.23";"0.09";"53.2106";"13.7";"67.5";"36.9";"36.0476";"410.96";"491.56"
"C";"Spain";"21.3176";"60.47";"0.16";"338.9865";"6.29";"57.24";"0";"35.2503";"126.3";"214.5"
"C";"Sweden";"0.0064";"6.74";"0";"13.0475";"0.05";"0";"0";"0.0946";"6.04";"7.99"
"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Non-EU";"53.3093";"16.04";"0.02";"1030.5274";"5.17";"345.62";"282";"332.3489";"2915.15";"1631.99"
"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"C";"Ukraine";"44.8886";"13.91";"0.01";"261.0519";"17.2";"185.74";"140.9";"322.6769";"2392.15";"1161.66"
"C";"United Kingdom (Post-Brexit)";"8.4207";"87.06";"0.2";"769.4755";"1.09";"159.89";"141";"9.672";"523";"470.33"
